source,source_lang,translation_bureau,m2m100_418m_base,m2m100_418m_finetuned,mbart50_mmt_base,mbart50_mmt_finetuned,nllb_3b_base_researchonly,opus_mt_base,opus_mt_finetuned,corpus_type
"For example, if the RV trawl catch rate for the Bay of Fundy declines, the changes within the Grid Groups should be examined",en,"Par exemple, si le taux de prises au chalut par navire de recherche pour la baie de Fundy chute, les changements à l'intérieur des groupes de grilles devraient être examinés","Par exemple, si le taux de capture RV pour la baie de Fundy diminue, les changements au sein des groupes de réseau devraient être examinés.","Par exemple, si le taux de capture du chalut de la RV dans la baie de Fundy diminue, les changements dans les groupes de grilles devraient être examinés.","Par exemple, si le taux de prise de chalut RV dans la baie de Fundy diminue, il faudrait examiner les changements au sein des groupes de réseau.","Par exemple, si le taux de capture au chalut pour la baie de Fundy diminue, les changements dans les groupes de grille devraient être examinés.","Par exemple, si le taux de capture par chalute à remorque pour la baie de Fundy diminue, les changements au sein des groupes de réseau devraient être examinés.","Par exemple, si le taux de capture du chalut de la baie de Fundy diminue, les changements au sein des groupes de la grille devraient être examinés.","Par exemple, si le taux de capture au chalut par navire de recherche pour la baie de Fundy diminue, les changements au sein des groupes de grilles devraient être examinés.",test_data
"(1994) ont réalisé des relevés aériens photographiques dans le détroit de Peel, l'inlet Prince-Régent, l'inlet de l'Amirauté et une partie du détroit d'Eclipse en 1984",fr,"(1994) conducted aerial photo surveys in Peel Sound, Prince Regent Inlet, Admiralty Inlet and part of Eclipse Sound in 1984","(1994) made photographic air records in the Peel Strait, the Prince-Regent Inlet, the Emirate Inlet and part of the Eclipse Strait in 1984","(1994) conducted aerial photographic surveys in Peel Strait, Prince Regent Inlet, Amiracy Inlet, and part of Eclipse Strait in 1984","(1994) conducted photographic aerial surveys in Peel Strait, Prince Regent Inlet, Admiralty Inlet and part of Eclipse Strait in 1984","(1994) conducted aerial photographic surveys in the Strait of Peel, Prince Regent Inlet, Admiralty Inlet, and part of Eclipse Sound in 1984.","(1994) carried out aerial photographic surveys in the Peel Strait, Prince Regent Inlet, Admiralty Inlet and part of the Eclipse Strait in 1984","(1994) conducted aerial photographic surveys in Peel Strait, Prince Regent Inlet, Admiralty Inlet and part of Eclipse Strait in 1984","Photographic aerial surveys were conducted in Peel Strait, Prince Regent Inlet, Admiralty Inlet and part of Eclipse Strait in 1984.",test_data
"Il était de 80 400 t'en 2020, en augmentation par rapport à 2019, mais toujours près des niveaux les plus bas de la série chronologique du relevé",fr,"It was 80,400 t in 2020, an increase from 2019, but still near the lowest levels in the survey time series","It was 80 400 t in 2020, increasing compared to 2019, but still close to the lowest levels in the chronological series of the report","It was 80 400 t in 2020, increasing from 2019, but still close to the lowest levels in the survey time series.","It was 80,400 t in 2020, up from 2019, but still close to the lowest levels in the chronological series of the survey","It was 80,400 t in 2020, up from 2019, but still close to the lowest levels in the survey time series.","It was 80,400 tonnes in 2020, up from 2019, but still close to the lowest levels in the time series of the survey.","It was 80,400 t in 2020, up from 2019, but still near the lowest levels in the time series of the survey","It was 80,400 t in 2020, up from 2019, but still near the lowest levels in the survey time series.",test_data
The first level of region for such areas will be the ecoregion,en,Le premier niveau de classification retenu pour ces zones est l'écorégion,Le premier niveau de la région pour ces zones sera l’ecorégion,Le premier niveau de la région pour ces zones sera l'écorégion.,Le premier niveau de la région pour ces zones sera l'écorégion.,Le premier niveau de la région pour ces zones sera l'écorégion.,Le premier niveau de région pour ces zones sera l'écorégion.,Le premier niveau de région pour ces zones sera l'écorégion,Le premier niveau de région pour ces zones sera l'écorégion.,test_data
"Many First Nations do collect information on RCA fishing activity, and this is an important area for further research",en,"Bon nombre de Premières Nations recueillent de l'information sur l'activité de pêche ASR, et il s'agit d'un domaine important pour de futures recherches","Beaucoup de Premières Nations recueillent des informations sur l'activité de la pêche RCA, et c'est un domaine important pour la recherche ultérieure","De nombreuses Premières Nations recueillent des renseignements sur l'activité de pêche de la RCA, et il s'agit d'un domaine important pour la recherche approfondie.","De nombreuses Premières nations recueillent de l’information sur les activités de pêche de la RCA, ce qui constitue un domaine important de recherche.","De nombreuses Premières Nations recueillent de l'information sur l'activité de pêche de la RCA, et c'est un domaine important pour les recherches futures.","De nombreuses Premières Nations recueillent effectivement des informations sur les activités de pêche en RCA, ce qui constitue un domaine important pour la poursuite des recherches.","De nombreuses Premières nations recueillent de l'information sur les activités de pêche de la RCA, et il s'agit d'un domaine de recherche important.","De nombreuses Premières Nations recueillent de l'information sur les activités de pêche de la RCA, et il s'agit d'un domaine de recherche important.",test_data
None of these models ranked within the top 50 (17 out of 33) of all models compared for this stock (including spawner-based models) for all performance measures (Table 5 in MacDonald Grant 2012),en,Aucun de ces modèles ne s'est classé dans la moitié supérieure (17 sur 33) de tous les modèles comparés pour ce stock (y compris les modèles basés sur les reproducteurs) sur toutes les mesures de rendement (tableau 5 dans MacDonald et Grant 2012),Aucun de ces modèles n'a été classé dans le top 50 (17 sur 33) de tous les modèles comparés pour ce stock (y compris les modèles basés sur le spawner) pour toutes les mesures de performance (Table 5 dans MacDonald Grant 2012),Aucun de ces modèles n'a été classé au top 50 (17 sur 33) de tous les modèles comparés pour ce stock (y compris les modèles fondés sur les reproducteurs) pour toutes les mesures de rendement (tableau 5 de MacDonald Grant 2012),Aucun de ces modèles n’a été classé parmi les 50 premiers (17 sur 33) de tous les modèles comparés pour ce stock (y compris les modèles basés sur l’élevage) pour toutes les mesures de performance (tableau 5 de MacDonald Grant 2012).,Aucun de ces modèles n'a été classé parmi les 50 premiers (17 sur 33) de tous les modèles comparés pour ce stock (y compris les modèles fondés sur les reproducteurs) pour toutes les mesures de rendement (tableau 5 dans MacDonald Grant 2012).,Aucun de ces modèles n'est classé parmi les 50 premiers (17 sur 33) de tous les modèles comparés pour ce stock (y compris les modèles basés sur des engrais) pour toutes les mesures de performance (tableau 5 de MacDonald Grant 2012),"Aucun de ces modèles n’a été classé parmi les 50 premiers (17 sur 33) de tous les modèles comparés pour ce stock (y compris les modèles basés sur les géniteurs) pour toutes les mesures de rendement (tableau 5 de MacDonald Grant, 2012).",Aucun de ces modèles n'a été classé dans les 50 premiers (17 sur 33) de tous les modèles comparés pour ce stock (y compris les modèles fondés sur les géniteurs) pour toutes les mesures de rendement (tableau 5 de MacDonald Grant 2012).,test_data
These fish were probably born in 1993 and 1994,en,Ces poissons seraient nés probablement en 1993 et 1994,Ces poissons sont probablement nés en 1993 et 1994,Ces poissons sont probablement nés en 1993 et en 1994.,Ces poissons sont probablement nés en 1993 et 1994,Ces poissons sont probablement nés en 1993 et en 1994,Ces poissons sont probablement nés en 1993 et 1994.,Ces poissons sont probablement nés en 1993 et 1994,Ces poissons sont probablement nés en 1993 et 1994,test_data
Current abundance above average,en,Abondance actuelle supérieure à la moyenne,L'abondance actuelle au-dessus de la moyenne,Abondance actuelle supérieure à la moyenne,Abondance actuelle supérieure à la moyenne,Abondance actuelle supérieure à la moyenne,Abondance actuelle supérieure à la moyenne,Abondance actuelle au-dessus de la moyenne,Abondance actuelle supérieure à la moyenne,test_data
DU6 LFR-Maria: time series of relative escapement from 1996 to 2020 with two estimates of the rate of change in escapement through time: (1) rate of change over the last three generations based only on the last three generations of data (black) (2) rate of change over the last three generations based on all available data (red),en,"UD 6 BFr-Maria : série chronologique des échappées relatives de 1996 à 2020 avec deux estimations du taux de variation des échappées enregistrées dans le temps : 1) taux de variation sur les trois dernières générations, basé uniquement sur les trois dernières générations de données (en noir); 2) taux de variation sur les trois dernières générations, basé sur toutes les données disponibles (en rouge)",DU6 LFR-Maria: série de temps d'échappement relatif de 1996 à 2020 avec deux estimations du taux de change dans l'échappement au fil du temps: (1) le taux de change au cours des trois dernières générations basé uniquement sur les trois dernières générations de données (noir) (2) le taux de change au cours des trois dernières générations basé sur toutes les données disponibles (rouge),DU6 LFR-Maria : série chronologique d'échappée relative de 1996 à 2020 avec deux estimations du taux de changement de l'échappée dans le temps : (1) taux de changement au cours des trois dernières générations basé uniquement sur les trois dernières générations de données (noir) (2) taux de changement au cours des trois dernières générations basé sur toutes les données disponibles (rouge),DU6 LFR-Maria : série temporelle de l'évacuation relative de 1996 à 2020 avec deux estimations du taux de changement dans l'évacuation par le temps : (1) taux de changement sur les trois dernières générations fondé uniquement sur les trois dernières générations de données ( noir ) (2) taux de changement sur les trois dernières générations fondé sur toutes les données disponibles ( rouge ),DU6 LFR-Maria : série chronologique des échappées relatives de 1996 à 2020 avec deux estimations du taux de changement des échappées au fil du temps : (1) taux de changement sur les trois dernières générations basé uniquement sur les trois dernières générations de données (noir) (2) taux de changement sur les trois dernières générations basé sur toutes les données disponibles (rouge),DU6 LFR-Maria: séries chronologiques d'échappement relatif de 1996 à 2020 avec deux estimations du taux de variation de l'échappement dans le temps: (1) taux de variation au cours des trois dernières générations basé uniquement sur les trois dernières générations de données (noir) (2) taux de variation au cours des trois dernières générations basé sur toutes les données disponibles (rouge),DU6 LFR-Maria: séries chronologiques d'échappement relatif de 1996 à 2020 avec deux estimations du taux de variation de l'échappement dans le temps: (1) taux de variation au cours des trois dernières générations basé uniquement sur les trois dernières générations de données (noir) (2) taux de variation au cours des trois dernières générations basé sur toutes les données disponibles (rouge),UD 6 LFR-Maria : série chronologique d'échappées relatives de 1996 à 2020 avec deux estimations du taux de variation de l'échappée dans le temps : (1) taux de variation sur les trois dernières générations basé uniquement sur les trois dernières générations de données (noir) (2) taux de variation sur les trois dernières générations basé sur toutes les données disponibles (rouge),test_data
"Le personnel du ministère des Pêches et des Océans, Direction des sciences, région du Golfe, présente un aperçu des données sur les stocks de poissons de fond dans le sud du golfe du Saint-Laurent, qui ont été recueillies en 1994",fr,"of Fisheries and Oceans, Science Branch, Gulf Region presented an overview of the data on the groundfish stocks of the southern Gulf of St","The staff of the Ministry of Fisheries and Oceans, Directorate of Sciences, Gulf Region, presents an overview of the data on the stocks of background fish in the south of the Gulf of Saint-Laurent, which were collected in 1994","Staff from the Department of Fisheries and Oceans, Science, Gulf Region, presented an overview of the data on groundfish stocks in the southern Gulf of St.","Staff from the Department of Fisheries and Oceans, Science Directorate, Gulf Region, provide an overview of the 1994 data on groundfish stocks in the southern Gulf of St. Lawrence","Staff from the Department of Fisheries and Oceans, Science Branch, Gulf Region, provided an overview of groundfish stock data in the southern Gulf of St.","The staff of the Ministry of Fisheries and Oceans, Science Directorate, Gulf Region, presents an overview of the data on bottom fish stocks in the southern Gulf of St. Lawrence, which were collected in 1994","Department of Fisheries and Oceans staff, Science Branch, Gulf Region, provides an overview of groundfish stock data in the southern Gulf of St. Lawrence collected in 1994","Department of Fisheries and Oceans, Science Branch, Gulf Region, staff presented an overview of groundfish stock data in the southern Gulf of St.",test_data
